PABST_2,PABST_3,PABST_4,PABST_5,PABST_6,PABST_7,PABST_8,PABST_9,PABST_10,PABST_11,PABST_12,PABST_13,PABST_14,PABST_15,PABST_16,PABST_17,PABST_18,PABST_19,PABST_20,PABST_21,PABST_22,PABST_23,PABST_24,PABST_25,PABST_26,PABST_27,PABST_28,PABST_29,PABST_30,PABST_31,PABST_32,THT_1,THT_2,THT_3,THT_4,THT_5,THT_6,THT_7,THT_8,THT_9,THT_10,THT_11,THT_12,THT_13,THT_14,THT_15,THT_16,THT_17,THT_18,THT_19,THT_20,THT_21,THT_22,THT_23,THT_24,THT_25,THT_26,THT_27,THT_28,THT_29,THT_30,THT_31,THT_32,ZS,SSOCANZ1,SSOCANZ2,SSOCANZ3,SSOCANZ4,SSOCANZ5,SSOCANZ6,ISBACANZ1,ISBACANZ2,ISBACANZ3,ISBACANZ4,ISBACANZ5,ISBACANZ6,BLD_HEIGHT,TEB_T1,TEB_T2,TEB_T3,TEB_T4,TEB_T5,TEB_T6,TEB_P1,TEB_P2,TEB_P3,TEB_P4,TEB_P5,TEB_P6,ISBA_T1,ISBA_T2,ISBA_T3,ISBA_T4,ISBA_T5,ISBA_T6,ISBA_P1,ISBA_P2,ISBA_P3,ISBA_P4,ISBA_P5,ISBA_P6,longitude,latitude,X,Y,MNT
100976.46963,100221.74866,99322.76649,98258.68282,97002.19932,95516.46635,93760.12509,91687.58082,89248.80872,86389.03937,83050.96432,79175.32337,74701.4731,69576.91627,64060.98353,58688.23955,53699.51775,49068.72538,44768.55681,40773.25384,37059.56229,33611.51361,30415.1425,27456.16301,24720.09524,22195.86894,19879.44114,17774.0131,15882.39171,14192.67244,12682.99312,298.56636,298.56636,298.54563,299.55714,302.8849,304.85288,305.9201,306.55192,306.91874,307.19856,307.46782,308.12322,308.99509,309.39719,309.92816,311.77767,315.33226,319.14007,322.14482,325.06129,327.04004,328.7721,330.48846,332.21409,333.73198,335.04457,336.82658,340.49771,347.85535,359.25636,371.24848,371.24848,37.12726,0.5,"2","4",6.5,"10",29.92447,"999","999","999","999","999","999",15.68286,299.53754,299.23838,299.11199,298.92485,298.65563,298.41613,101584.86894,101567.44982,101544.22434,101470.58297,101292.71929,101061.0492,"999","999","999","999","999","999","999","999","999","999","999","999",2.31723,48.86405,649910.397,6862885.252,27.00000
100954.63564,100200.03007,99301.39498,98238.00182,96982.2107,95496.98716,93741.08058,91669.03148,89230.87338,86371.84081,83034.6211,79159.94875,74687.21711,69563.92605,64049.45641,58678.30591,53691.14265,49061.68521,44762.49044,40767.99957,37055.10147,33607.83042,30412.23916,27453.95827,24718.41529,22194.56519,19878.37735,17773.26646,15882.00854,14192.52884,12683.04831,298.53623,298.53623,298.50125,299.662,303.03024,304.91974,305.92589,306.54815,306.9163,307.2049,307.46823,308.12106,308.97605,309.43277,309.89463,311.78387,315.35234,319.17005,322.15317,325.04723,327.0271,328.76557,330.49901,332.23619,333.7447,335.04491,336.81206,340.46724,347.88341,359.26023,371.24505,371.24505,39.03274,0.5,"2","4",6.5,"10",29.9201,"999","999","999","999","999","999",16.934,299.61682,299.29072,299.15694,298.93677,298.64202,298.39749,101576.98354,101559.56678,101536.34444,101455.44939,101270.36305,101038.7581,"999","999","999","999","999","999","999","999","999","999","999","999",2.32577,48.86404,650536.887,6862878.757,32.29000
100897.51052,100143.35643,99245.66415,98183.53778,96928.97427,95445.04685,93690.51389,91620.0016,89183.66748,86326.66524,82991.81148,79119.85575,74650.13312,69530.35206,64019.81541,58652.68019,53669.13525,49042.86599,44746.41849,40754.22993,37043.5042,33598.2031,30404.39695,27447.77574,24713.64267,22190.95446,19875.69466,17771.47748,15881.05828,14192.21068,12683.24689,298.47456,298.47456,298.46664,299.85614,303.13295,304.98095,305.95026,306.55515,306.91814,307.2172,307.45536,308.13431,308.94053,309.45497,309.88642,311.8103,315.39582,319.18328,322.18708,325.03817,327.01471,328.7674,330.47621,332.24503,333.75467,335.04447,336.80086,340.44375,347.91437,359.2675,371.24057,371.24057,44.02898,0.5,"2","4",6.5,"10",29.90974,"999","999","999","999","999","999",23.16,300.07162,299.65255,299.4796,299.11106,298.64602,298.36633,101590.71622,101573.30745,101550.09576,101433.10883,101212.01848,100980.59993,"999","999","999","999","999","999","999","999","999","999","999","999",2.3343,48.86403,651162.643,6862872.335,34.20000
100867.30342,100113.4789,99216.29183,98154.74269,96900.81803,95417.56917,93663.77093,91594.01733,89158.56632,86302.59841,82968.99358,79098.45828,74630.31748,69512.39934,64003.96944,58639.08851,53657.46778,49032.8712,44737.94805,40746.90752,37037.32322,33593.11671,30400.24935,27444.5269,24711.16545,22189.10093,19874.29027,17770.4963,15880.51923,14192.01792,12683.33115,298.43438,298.43438,298.51821,299.90338,303.16934,305.0027,305.95379,306.55882,306.91202,307.21914,307.44311,308.14706,308.90969,309.44775,309.87792,311.82906,315.43167,319.17274,322.20953,325.03396,326.98661,328.79117,330.45914,332.24467,333.75735,335.04962,336.79638,340.41965,347.92105,359.2698,371.23817,371.23817,46.68999,0.5,"2","4",6.5,"10",29.90484,"999","999","999","999","999","999",20.71667,300.18452,299.6877,299.4811,299.07109,298.5809,298.282,101531.27665,101513.86805,101490.65659,101387.84915,101180.95825,100949.57987,"999","999","999","999","999","999","999","999","999","999","999","999",2.34284,48.86402,651789.134,6862865.976,34.90000
100866.47788,100112.68704,99215.51789,98153.87342,96899.90998,95416.66354,93662.79356,91592.94928,89157.42932,86301.4407,82967.86415,79097.35955,74629.24453,69511.37389,64003.07413,58638.48912,53657.01948,49032.49748,44737.70634,40746.63245,37037.01807,33592.90065,30400.15145,27444.51721,24711.21158,22189.16488,19874.26694,17770.38043,15880.4238,14191.96976,12683.29875,298.42918,298.42918,298.53736,299.88921,303.12055,305.00741,305.92178,306.5361,306.90369,307.21623,307.44295,308.15743,308.93574,309.40808,309.87495,311.84428,315.45329,319.16139,322.22015,325.03077,326.9763,328.79486,330.48454,332.26141,333.75716,335.05462,336.79211,340.39756,347.9166,359.27799,371.23708,371.23708,46.81231,0.5,"2","4",6.5,"10",29.9046,"999","999","999","999","999","999",19.43111,300.17635,299.66854,299.45536,299.04193,298.54231,298.2349,101514.78965,101497.37847,101474.16356,101378.80188,101179.34226,100947.93145,"999","999","999","999","999","999","999","999","999","999","999","999",2.35137,48.86401,652414.893,6862859.689,35.00000
100883.69862,100129.84946,99232.43851,98170.32395,96915.85554,95432.16778,93677.81934,91607.38709,89171.1995,86314.53059,82980.24169,79108.93325,74639.85364,69520.8969,64011.49548,58645.93188,53663.54546,49038.10176,44742.59373,40750.81481,37040.41848,33595.6912,30402.50304,27446.50344,24712.84551,22190.44936,19875.13135,17770.7965,15880.57928,14192.01916,12683.20052,298.49998,298.49998,298.56438,299.8457,303.04277,304.97223,305.90433,306.51965,306.89598,307.2095,307.44544,308.16675,308.95765,309.3361,309.88053,311.85169,315.46025,319.15756,322.21577,325.05015,326.95486,328.77464,330.4949,332.28566,333.7743,335.07166,336.79292,340.36371,347.87671,359.30233,371.25506,371.25506,45.35238,0.5,"2","4",6.5,"10",29.90763,"999","999","999","999","999","999",17.89,300.22453,299.73639,299.52987,299.14135,298.64434,298.3339,101513.42782,101496.01954,101472.80852,101386.40546,101195.91012,100964.51451,"999","999","999","999","999","999","999","999","999","999","999","999",2.35991,48.864,653041.386,6862853.465,34.70000
100876.07218,100122.27425,99225.06882,98163.17439,96908.70769,95425.03441,93670.78202,91600.4725,89164.46066,86308.09818,82974.1535,79103.20144,74634.52354,69516.04208,64007.21236,58642.28372,53660.53846,49035.47901,44740.40513,40749.07841,37038.90432,33594.3487,30401.37077,27445.69454,24712.30917,22190.11548,19874.87424,17770.4902,15880.32725,14191.94259,12683.19885,298.51597,298.51597,298.53837,299.97561,303.01661,304.92449,305.87752,306.50619,306.8936,307.20881,307.45903,308.16113,308.95061,309.30013,309.88707,311.85175,315.46489,319.16961,322.19057,325.09255,326.95032,328.76386,330.458,332.29124,333.79606,335.08686,336.80393,340.33258,347.82791,359.31943,371.28454,371.28454,46.05283,0.5,"2","4",6.5,"10",29.90584,"999","999","999","999","999","999",17.82333,300.4804,299.97463,299.76592,299.37617,298.91237,298.61529,101503.83032,101486.44014,101463.25323,101377.32643,101187.42244,100956.28115,"999","999","999","999","999","999","999","999","999","999","999","999",2.36845,48.86399,653667.879,6862847.308,35.50000
100817.95145,100064.55536,99168.20484,98107.46273,96854.16681,95371.79501,93618.99468,91550.2183,89115.91692,86261.77631,82930.35071,79062.09415,74596.56068,69481.73587,63976.91749,58615.97692,53638.02213,49016.10943,44723.82272,40735.09159,37027.16937,33584.58064,30393.28522,27439.2432,24707.34194,22186.43867,19872.27017,17768.72086,15879.2998,14191.60503,12683.3916,298.3989,298.3989,298.49536,300.07924,303.00563,304.91369,305.87219,306.4984,306.88082,307.20833,307.4904,308.15303,308.9366,309.30392,309.9034,311.85989,315.48843,319.2126,322.17362,325.12662,326.95921,328.79782,330.43206,332.28641,333.80909,335.10219,336.81632,340.32598,347.80982,359.32954,371.29199,371.29199,51.17166,0.5,"2","4",6.5,"10",29.89182,"999","999","999","999","999","999",16.99667,300.43142,299.99014,299.80513,299.46053,299.00846,298.71157,101434.65472,101417.28037,101394.11457,101313.05357,101128.16416,100897.34153,"999","999","999","999","999","999","999","999","999","999","999","999",2.37698,48.86398,654293.64,6862841.225,45.59000
100921.47104,100167.5159,99269.23709,98205.8645,96950.57664,95466.34299,93711.69644,91640.96025,89204.02571,86346.31543,83010.74478,79137.98048,74667.21627,69546.08439,64033.73602,58664.37585,53678.71967,49050.68746,44753.06874,40760.09701,37048.49843,33602.25997,30407.426,27449.87238,24715.16674,22192.20653,19876.91446,17772.39732,15881.50531,14192.4158,12683.22101,298.6447,298.6447,298.6613,299.51152,302.89973,304.98111,305.99224,306.63711,306.93315,307.20465,307.46693,308.17014,308.98981,309.36733,309.95476,311.79253,315.33168,319.14467,322.14759,325.08209,327.0516,328.77927,330.47038,332.19264,333.72452,335.06031,336.84702,340.52861,347.85485,359.26772,371.25168,371.25168,41.84475,0.5,"2","4",6.5,"10",29.91478,"999","999","999","999","999","999",18.695,300.01783,299.627,299.46355,299.13987,298.70475,298.41666,101564.5277,101547.11838,101523.90595,101432.8262,101237.62022,101006.15535,"999","999","999","999","999","999","999","999","999","999","999","999",2.30868,48.85844,649277.704,6862266.927,33.00000
100929.14771,100175.01137,99276.613,98213.2266,96957.8526,95473.42304,93718.50101,91647.48992,89210.28626,86352.25451,83016.19836,79142.90064,74671.79442,69550.21132,64037.24928,58667.45075,53681.57405,49053.35831,44755.35022,40761.88835,37049.91526,33603.45892,30408.57316,27450.93904,24716.02923,22192.79782,19877.20438,17772.5223,15881.58237,14192.41319,12683.15503,298.60505,298.60505,298.61003,299.52464,302.93316,304.97623,305.98422,306.6175,306.93483,307.20703,307.46705,308.13555,308.98558,309.327,309.93334,311.77206,315.34958,319.15703,322.17142,325.04969,327.01719,328.76415,330.4883,332.23113,333.74367,335.05584,336.82623,340.4954,347.86557,359.27137,371.24936,371.24936,41.19942,0.5,"2","4",6.5,"10",29.91577,"999","999","999","999","999","999",17.29167,299.85682,299.4889,299.33878,299.05254,298.66493,298.39145,101555.9021,101538.48967,101515.2731,101432.32222,101245.22265,101013.70872,"999","999","999","999","999","999","999","999","999","999","999","999",2.31722,48.85844,649904.269,6862261.475,36.90000
